# Global five-letter proquint reservations for TODO, TE, DR, and DI identifiers.
# tools/mint-handle appends a handle before returning it, making allocation collision-safe.
pokug	2026-08-02T19:46:46Z
rabap	2026-08-02T19:46:46Z
fofuh	2026-08-02T19:49:01Z
sobir	2026-08-02T20:40:19Z
harib	2026-08-02T20:41:17Z
malob	2026-08-02T20:42:23Z
hapak	2026-08-02T20:58:08Z
pohug	2026-08-02T21:07:31Z
zivut	2026-08-02T21:07:40Z
rasih	2026-08-03T14:21:18Z
jifuk	2026-08-03T14:22:07Z
kitol	2026-08-03T14:28:53Z
rufir	2026-08-03T14:29:03Z
nakum	2026-08-03T15:05:49Z
sotad	2026-08-03T15:06:31Z
sakit	2026-08-03T15:11:55Z
gihor	2026-08-03T15:11:58Z
nujof	2026-08-08T03:52:06Z
tagup	2026-08-08T04:21:01Z
vitib	2026-08-08T04:21:01Z
ludiv	2026-08-08T04:21:01Z
dapod	2026-08-08T04:21:01Z
patag	2026-08-08T04:21:01Z
sapun	2026-08-08T04:21:01Z
malih	2026-08-08T04:21:01Z
lasif	2026-08-08T04:21:01Z
komud	2026-08-08T04:24:54Z
# Historical owner-handle reconciliation per DI-komud; these entries preserve existing artifact identifiers.
bafor	2026-08-08T04:24:56Z
batov	2026-08-08T04:24:56Z
bavot	2026-08-08T04:24:56Z
bavuk	2026-08-08T04:24:56Z
bavum	2026-08-08T04:24:56Z
bitus	2026-08-08T04:24:56Z
bonuv	2026-08-08T04:24:56Z
borav	2026-08-08T04:24:56Z
bulaf	2026-08-08T04:24:56Z
busor	2026-08-08T04:24:56Z
buvir	2026-08-08T04:24:56Z
buvok	2026-08-08T04:24:56Z
dajak	2026-08-08T04:24:56Z
davur	2026-08-08T04:24:56Z
dazim	2026-08-08T04:24:56Z
dogub	2026-08-08T04:24:56Z
dorun	2026-08-08T04:24:56Z
dovak	2026-08-08T04:24:56Z
dovoz	2026-08-08T04:24:56Z
dovuk	2026-08-08T04:24:56Z
fadat	2026-08-08T04:24:56Z
fakuv	2026-08-08T04:24:56Z
fanok	2026-08-08T04:24:56Z
fanub	2026-08-08T04:24:56Z
farok	2026-08-08T04:24:56Z
